date,guest_name,category,artist,title,url,date_tidied,guest_name_disaggregated,guest_occupation_disaggregated
Last Friday,"Tom Kerridge, chef",song,Oasis,Slide Away,https://www.bbc.co.uk/programmes/m0001dfh,2018-12-14,Tom Kerridge, chef
Last Friday,"Tom Kerridge, chef",song,The Beatles,Here Comes The Sun,https://www.bbc.co.uk/programmes/m0001dfh,2018-12-14,Tom Kerridge, chef
Last Friday,"Tom Kerridge, chef",song,Michael Jackson,Don't Stop 'Til You Get Enough,https://www.bbc.co.uk/programmes/m0001dfh,2018-12-14,Tom Kerridge, chef
Last Friday,"Tom Kerridge, chef",song,Placebo,Black-Eyed,https://www.bbc.co.uk/programmes/m0001dfh,2018-12-14,Tom Kerridge, chef
Last Friday,"Tom Kerridge, chef",song,The Prodigy,Everybody in the Place (Fairground remix),https://www.bbc.co.uk/programmes/m0001dfh,2018-12-14,Tom Kerridge, chef
Last Friday,"Tom Kerridge, chef",song,I Am Kloot,Proof,https://www.bbc.co.uk/programmes/m0001dfh,2018-12-14,Tom Kerridge, chef
Last Friday,"Tom Kerridge, chef",song,The Rifles,Tangled Up In Love (Acoustic),https://www.bbc.co.uk/programmes/m0001dfh,2018-12-14,Tom Kerridge, chef
Last Friday,"Tom Kerridge, chef",song,The National,Fake Empire,https://www.bbc.co.uk/programmes/m0001dfh,2018-12-14,Tom Kerridge, chef
Fri 30 Nov 2018,"Kate Atkinson, novelist",song,Glenn Miller,In The Mood,https://www.bbc.co.uk/programmes/m000198c,2018-11-30,Kate Atkinson, novelist
Fri 30 Nov 2018,"Kate Atkinson, novelist",song,Kathleen Ferrier,The Keel Row,https://www.bbc.co.uk/programmes/m000198c,2018-11-30,Kate Atkinson, novelist
Fri 30 Nov 2018,"Kate Atkinson, novelist",song,The Everly Brothers,Wake Up Little Susie,https://www.bbc.co.uk/programmes/m000198c,2018-11-30,Kate Atkinson, novelist
Fri 30 Nov 2018,"Kate Atkinson, novelist",song,"Peter, Paul & Mary",This Land Is Your Land (Live In Japan 1967),https://www.bbc.co.uk/programmes/m000198c,2018-11-30,Kate Atkinson, novelist
Fri 30 Nov 2018,"Kate Atkinson, novelist",song,Leonard Cohen,Suzanne,https://www.bbc.co.uk/programmes/m000198c,2018-11-30,Kate Atkinson, novelist
Fri 30 Nov 2018,"Kate Atkinson, novelist",song,Royal Philharmonic Orchestra & D'Oyly Carte Opera Chorus,For he's gone and married Yum-Yum,https://www.bbc.co.uk/programmes/m000198c,2018-11-30,Kate Atkinson, novelist
Fri 30 Nov 2018,"Kate Atkinson, novelist",song,Miranda Lambert,The House That Built Me,https://www.bbc.co.uk/programmes/m000198c,2018-11-30,Kate Atkinson, novelist
